Country,Continent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Image url
Bulgaria,Europe,5.914,5.944,5.979,3.859,5.438,6.363,6.417,6.195,7.599,8.783999999999999,14.5,22.891,27.131,25.372,27.327,28.471999999999998,36.573,39.511,44.868,45.776,43.874,41.127,42.789,53.161,49.288000000000004,47.165,44.628,38.879000000000005,45.391,47.854,55.82,59.939,58.513,57.109,53.013,59.483999999999995,60.225,63.044,56.873,55.629,63.686,65.34,47.992000000000004,50.790000000000006,51.245000000000005,56.583,53.887,55.958,55.598,60.723,62.61,58.444,54.963,61.595,56.806,57.043,61.597,60.105000000000004,https://public.flourish.studio/country-flags/svg/bg.svg
Burkina Faso,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bf.svg
Burundi,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bi.svg
Cambodia,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/kh.svg
Cameroon,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/cm.svg
Canada,North America,349.548,387.854,396.446,405.34700000000004,446.936,470.55199999999996,492.503,557.566,618.873,664.6400000000001,634.37,678.337,725.718,784.1800000000001,821.945,850.558,900.294,871.0790000000001,924.349,994.21,1069.607,1120.768,1154.25,1144.221,1083.923,1079.944,1147.931,1159.212,1217.658,1273.498,1263.701,1310.123,1263.7939999999999,1180.035,1227.7640000000001,1260.8999999999999,1189.671,1230.7910000000002,1183.885,1226.11,1292.1070000000002,1276.828,1299.9589999999998,1328.6259999999997,1288.245,1240.004,1312.201,1323.9589999999998,1370.894,1353.652,1370.913,1384.167,1400.385,1373.534,1357.945,1366.097,1337.085,1369.0549999999998,https://public.flourish.studio/country-flags/svg/ca.svg
Cape Verde,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Central African Republic,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/cf.svg
Chad,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/td.svg
Chile,South America,11.692,12.325,12.582,10.542,11.899,12.736,14.22,16.944,16.544,18.818,18.889,19.513,20.607,21.441,22.024,23.274,24.099,26.359,28.426,29.496,32.734,34.981,37.917,37.134,31.176,26.44,38.842,49.5,50.911,50.226,54.449,49.895,56.015,47.126,40.147,56.422,63.712,67.699,65.571,60.440000000000005,73.253,80.303,63.187,68.29599999999999,70.54,61.298,57.510999999999996,56.404,55.759,67.584,72.97,66.104,76.771,84.858,86.027,91.757,95.379,120.11,https://public.flourish.studio/country-flags/svg/cl.svg
China,Asia,65.341,66.491,57.317,67.628,68.778,71.077,85.975,97.436,108.897,123.232,128.956,130.681,136.418,127.819,143.579,172.159,193.722,220.041,255.534,256.71,273.189,279.579,295.771,322.809,350.134,374.793,368.737,386.834,454.197,538.106,601.8,596.814,621.04,629.217,625.154,706.9639999999999,866.4899999999999,913.499,946.402,1162.25,1288.5080000000003,1400.565,1556.54,2011.56,1984.942,2312.63,2340.529,2916.828,3170.331,3713.6360000000004,4050.3419999999996,4457.860000000001,4858.294,5356.719,5895.218999999999,6304.967,6996.563,7546.237,https://public.flourish.studio/country-flags/svg/cn.svg
Christmas Island,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Colombia,South America,10.479,11.642,12.979,14.463,16.08,17.898,18.994,21.039,22.897,25.998,28.778,30.239,30.906,35.695,39.208,42.72,42.182,45.06,45.436,50.683,54.529,63.081,68.743,72.504,79.194,81.305,81.986,65.883,82.371,94.796,94.592,104.345,93.073,91.021,99.652,91.127,92.938,99.161,104.935,110.627,112.475,121.273,125.241,129.867,114.208,112.67699999999999,133.709,130.616,121.064,121.39999999999999,120.511,125.389,152.587,150.03099999999998,144.009,131.415,159.303,169.24099999999999,https://public.flourish.studio/country-flags/svg/co.svg
